Feature,Gradient (dy/dx),Abs_Gradient,Normalised Sensitivity,p_value,cv_std,sign_stable,confidence_tier,scouting_direction,model
average_position_x,0.06507727613975234,0.06507727613975234,0.21722797990760556,0.1846225351757907,0.011959261718566882,True,Tier 4 — fallback only,look for LOW,Ridge
third_man_runs,-0.06380508106037834,0.06380508106037834,0.21298139210409428,0.052927228926955255,0.008909326979467589,True,Tier 2 — moderate confidence,look for HIGH,Ridge
aerial_duel_win_rate,0.0623288457629881,0.0623288457629881,0.2080537179520334,0.05171268956109491,0.015692663943864735,True,Tier 2 — moderate confidence,look for LOW,Ridge
turnovers,-0.04637212436735403,0.04637212436735403,0.15479017404957576,0.264982617436503,0.01767339594356376,True,Tier 4 — fallback only,look for HIGH,Ridge
switches_completed,0.045036388455646566,0.045036388455646566,0.15033148691634135,0.041408278212206724,0.00949285029006887,True,Tier 1 — high confidence,look for LOW,Ridge
sliding_tackles,-0.0169608270492553,0.0169608270492553,0.056615249070349684,0.1265802962942763,0.006186656215571152,True,Tier 3 — indicative only,look for HIGH,Ridge
